index,id,Date,City,Temperature
0,32208,01.01.2012,New York City,47.4
1,32209,02.01.2012,New York City,42.9
2,32210,03.01.2012,New York City,29.8
3,32211,04.01.2012,New York City,19.1
4,32212,05.01.2012,New York City,31.7
5,32213,06.01.2012,New York City,41.5
6,32214,07.01.2012,New York City,51.6
7,32215,08.01.2012,New York City,45.1
8,32216,09.01.2012,New York City,35.0
9,32217,10.01.2012,New York City,39.4
10,32218,11.01.2012,New York City,42.2
11,32219,12.01.2012,New York City,43.3
12,32220,13.01.2012,New York City,39.1
13,32221,14.01.2012,New York City,29.7
14,32222,15.01.2012,New York City,23.3
15,32223,16.01.2012,New York City,22.7
16,32224,17.01.2012,New York City,39.0
17,32225,18.01.2012,New York City,50.8
18,32226,19.01.2012,New York City,26.4
19,32227,20.01.2012,New York City,31.9
20,32228,21.01.2012,New York City,26.4
21,32229,22.01.2012,New York City,24.4
22,32230,23.01.2012,New York City,37.2
23,32231,24.01.2012,New York City,49.1
24,32232,25.01.2012,New York City,41.6
25,32233,26.01.2012,New York City,36.5
26,32234,27.01.2012,New York City,45.8
27,32235,28.01.2012,New York City,43.0
28,32236,29.01.2012,New York City,40.1
29,32237,30.01.2012,New York City,37.8
30,32238,31.01.2012,New York City,44.4
31,32239,01.02.2012,New York City,55.4
32,32240,02.02.2012,New York City,46.5
33,32241,03.02.2012,New York City,37.5
34,32242,04.02.2012,New York City,42.6
35,32243,05.02.2012,New York City,36.9
36,32244,06.02.2012,New York City,40.7
37,32245,07.02.2012,New York City,45.1
38,32246,08.02.2012,New York City,36.3
39,32247,09.02.2012,New York City,36.7
40,32248,10.02.2012,New York City,40.5
41,32249,11.02.2012,New York City,36.8
42,32250,12.02.2012,New York City,29.5
43,32251,13.02.2012,New York City,33.5
44,32252,14.02.2012,New York City,41.4
45,32253,15.02.2012,New York City,42.1
46,32254,16.02.2012,New York City,40.7
47,32255,17.02.2012,New York City,45.5
48,32256,18.02.2012,New York City,42.3
49,32257,19.02.2012,New York City,40.1
50,32258,20.02.2012,New York City,37.9
51,32259,21.02.2012,New York City,38.9
52,32260,22.02.2012,New York City,49.0
53,32261,23.02.2012,New York City,51.0
54,32262,24.02.2012,New York City,42.1
55,32263,25.02.2012,New York City,42.6
56,32264,26.02.2012,New York City,36.7
57,32265,27.02.2012,New York City,43.3
58,32266,28.02.2012,New York City,46.4
59,32267,29.02.2012,New York City,41.0
60,32268,01.03.2012,New York City,40.0
61,32269,02.03.2012,New York City,37.0
62,32270,03.03.2012,New York City,46.4
63,32271,04.03.2012,New York City,44.3
64,32272,05.03.2012,New York City,37.9
65,32273,06.03.2012,New York City,33.4
66,32274,07.03.2012,New York City,45.5
67,32275,08.03.2012,New York City,58.7
68,32276,09.03.2012,New York City,49.8
69,32277,10.03.2012,New York City,37.1
70,32278,11.03.2012,New York City,45.3
71,32279,12.03.2012,New York City,52.6
72,32280,13.03.2012,New York City,60.1
73,32281,14.03.2012,New York City,63.3
74,32282,15.03.2012,New York City,48.6
75,32283,16.03.2012,New York City,44.5
76,32284,17.03.2012,New York City,49.9
77,32285,18.03.2012,New York City,50.9
78,32286,19.03.2012,New York City,59.3
79,32287,20.03.2012,New York City,60.0
80,32288,21.03.2012,New York City,57.8
81,32289,22.03.2012,New York City,61.2
82,32290,23.03.2012,New York City,65.1
83,32291,24.03.2012,New York City,58.1
84,32292,25.03.2012,New York City,48.3
85,32293,26.03.2012,New York City,50.0
86,32294,27.03.2012,New York City,39.7
87,32295,28.03.2012,New York City,52.7
88,32296,29.03.2012,New York City,56.1
89,32297,30.03.2012,New York City,46.9
90,32298,31.03.2012,New York City,42.6
91,32299,01.04.2012,New York City,46.3
92,32300,02.04.2012,New York City,48.1
93,32301,03.04.2012,New York City,51.0
94,32302,04.04.2012,New York City,59.8
95,32303,05.04.2012,New York City,50.8
96,32304,06.04.2012,New York City,48.3
97,32305,07.04.2012,New York City,50.9
98,32306,08.04.2012,New York City,55.2
99,32307,09.04.2012,New York City,58.2
100,32308,10.04.2012,New York City,55.8
101,32309,11.04.2012,New York City,48.9
102,32310,12.04.2012,New York City,51.2
103,32311,13.04.2012,New York City,54.4
104,32312,14.04.2012,New York City,59.9
105,32313,15.04.2012,New York City,68.5
106,32314,16.04.2012,New York City,73.1
107,32315,17.04.2012,New York City,72.7
108,32316,18.04.2012,New York City,58.8
109,32317,19.04.2012,New York City,52.9
110,32318,20.04.2012,New York City,61.1
111,32319,21.04.2012,New York City,62.0
112,32320,22.04.2012,New York City,52.6
113,32321,23.04.2012,New York City,51.3
114,32322,24.04.2012,New York City,49.7
115,32323,25.04.2012,New York City,54.6
116,32324,26.04.2012,New York City,53.7
117,32325,27.04.2012,New York City,51.4
118,32326,28.04.2012,New York City,47.9
119,32327,29.04.2012,New York City,54.7
120,32328,30.04.2012,New York City,53.0
121,32329,01.05.2012,New York City,57.2
122,32330,02.05.2012,New York City,53.6
123,32331,03.05.2012,New York City,54.3
124,32332,04.05.2012,New York City,60.0
125,32333,05.05.2012,New York City,57.9
126,32334,06.05.2012,New York City,58.5
127,32335,07.05.2012,New York City,57.5
128,32336,08.05.2012,New York City,58.9
129,32337,09.05.2012,New York City,62.3
130,32338,10.05.2012,New York City,60.7
131,32339,11.05.2012,New York City,59.5
132,32340,12.05.2012,New York City,66.8
133,32341,13.05.2012,New York City,72.7
134,32342,14.05.2012,New York City,69.5
135,32343,15.05.2012,New York City,63.9
136,32344,16.05.2012,New York City,66.1
137,32345,17.05.2012,New York City,65.7
138,32346,18.05.2012,New York City,63.1
139,32347,19.05.2012,New York City,65.3
140,32348,20.05.2012,New York City,65.9
141,32349,21.05.2012,New York City,60.4
142,32350,22.05.2012,New York City,60.0
143,32351,23.05.2012,New York City,68.3
144,32352,24.05.2012,New York City,65.2
145,32353,25.05.2012,New York City,63.4
146,32354,26.05.2012,New York City,73.3
147,32355,27.05.2012,New York City,74.5
148,32356,28.05.2012,New York City,78.1
149,32357,29.05.2012,New York City,82.6
150,32358,30.05.2012,New York City,75.0
151,32359,31.05.2012,New York City,73.5
152,32360,01.06.2012,New York City,68.2
153,32361,02.06.2012,New York City,69.0
154,32362,03.06.2012,New York City,67.8
155,32363,04.06.2012,New York City,62.0
156,32364,05.06.2012,New York City,58.3
157,32365,06.06.2012,New York City,63.6
158,32366,07.06.2012,New York City,67.5
159,32367,08.06.2012,New York City,67.2
160,32368,09.06.2012,New York City,74.4
161,32369,10.06.2012,New York City,74.2
162,32370,11.06.2012,New York City,71.6
163,32371,12.06.2012,New York City,68.5
164,32372,13.06.2012,New York City,67.2
165,32373,14.06.2012,New York City,69.3
166,32374,15.06.2012,New York City,70.3
167,32375,16.06.2012,New York City,70.2
168,32376,17.06.2012,New York City,65.3
169,32377,18.06.2012,New York City,63.9
170,32378,19.06.2012,New York City,68.3
171,32379,20.06.2012,New York City,81.4
172,32380,21.06.2012,New York City,89.2
173,32381,22.06.2012,New York City,85.1
174,32382,23.06.2012,New York City,76.4
175,32383,24.06.2012,New York City,74.0
176,32384,25.06.2012,New York City,71.8
177,32385,26.06.2012,New York City,66.5
178,32386,27.06.2012,New York City,73.5
179,32387,28.06.2012,New York City,79.5
180,32388,29.06.2012,New York City,85.7
181,32389,30.06.2012,New York City,88.5
182,32390,01.07.2012,New York City,86.7
183,32391,02.07.2012,New York City,81.7
184,32392,03.07.2012,New York City,81.4
185,32393,04.07.2012,New York City,83.4
186,32394,05.07.2012,New York City,87.8
187,32395,06.07.2012,New York City,82.2
