	id	Date	City	Temperature	Sales
0	32208	2012-01-01	New York City	47.4	36
1	32209	2012-01-02	New York City	42.9	34
2	32210	2012-01-03	New York City	29.8	40
3	32211	2012-01-04	New York City	19.1	35
4	32212	2012-01-05	New York City	31.7	48
5	32213	2012-01-06	New York City	41.5	44
6	32214	2012-01-07	New York City	51.6	51
7	32215	2012-01-08	New York City	45.1	36
8	32216	2012-01-09	New York City	35.0	44
9	32217	2012-01-10	New York City	39.4	39
10	32218	2012-01-11	New York City	42.2	39
11	32219	2012-01-12	New York City	43.3	45
12	32220	2012-01-13	New York City	39.1	49
13	32221	2012-01-14	New York City	29.7	46
14	32222	2012-01-15	New York City	23.3	48
15	32223	2012-01-16	New York City	22.7	51
16	32224	2012-01-17	New York City	39.0	56
17	32225	2012-01-18	New York City	50.8	53
18	32226	2012-01-19	New York City	26.4	59
19	32227	2012-01-20	New York City	31.9	53
20	32228	2012-01-21	New York City	26.4	63
21	32229	2012-01-22	New York City	24.4	53
22	32230	2012-01-23	New York City	37.2	51
23	32231	2012-01-24	New York City	49.1	62
24	32232	2012-01-25	New York City	41.6	66
25	32233	2012-01-26	New York City	36.5	61
26	32234	2012-01-27	New York City	45.8	72
27	32235	2012-01-28	New York City	43.0	66
28	32236	2012-01-29	New York City	40.1	75
29	32237	2012-01-30	New York City	37.8	63
30	32238	2012-01-31	New York City	44.4	67
31	32239	2012-02-01	New York City	55.4	77
32	32240	2012-02-02	New York City	46.5	76
33	32241	2012-02-03	New York City	37.5	78
34	32242	2012-02-04	New York City	42.6	71
35	32243	2012-02-05	New York City	36.9	74
36	32244	2012-02-06	New York City	40.7	65
37	32245	2012-02-07	New York City	45.1	74
38	32246	2012-02-08	New York City	36.3	69
39	32247	2012-02-09	New York City	36.7	67
40	32248	2012-02-10	New York City	40.5	75
41	32249	2012-02-11	New York City	36.8	70
42	32250	2012-02-12	New York City	29.5	89
43	32251	2012-02-13	New York City	33.5	80
44	32252	2012-02-14	New York City	41.4	87
45	32253	2012-02-15	New York City	42.1	89
46	32254	2012-02-16	New York City	40.7	91
47	32255	2012-02-17	New York City	45.5	85
48	32256	2012-02-18	New York City	42.3	88
49	32257	2012-02-19	New York City	40.1	96
50	32258	2012-02-20	New York City	37.9	85
51	32259	2012-02-21	New York City	38.9	93
52	32260	2012-02-22	New York City	49.0	80
53	32261	2012-02-23	New York City	51.0	95
54	32262	2012-02-24	New York City	42.1	89
55	32263	2012-02-25	New York City	42.6	100
56	32264	2012-02-26	New York City	36.7	100
57	32265	2012-02-27	New York City	43.3	93
58	32266	2012-02-28	New York City	46.4	97
59	32267	2012-02-29	New York City	41.0	93
60	32268	2012-03-01	New York City	40.0	98
61	32269	2012-03-02	New York City	37.0	90
62	32270	2012-03-03	New York City	46.4	102
63	32271	2012-03-04	New York City	44.3	94
64	32272	2012-03-05	New York City	37.9	106
65	32273	2012-03-06	New York City	33.4	104
66	32274	2012-03-07	New York City	45.5	106
67	32275	2012-03-08	New York City	58.7	105
68	32276	2012-03-09	New York City	49.8	97
69	32277	2012-03-10	New York City	37.1	114
70	32278	2012-03-11	New York City	45.3	110
71	32279	2012-03-12	New York City	52.6	109
72	32280	2012-03-13	New York City	60.1	107
73	32281	2012-03-14	New York City	63.3	120
74	32282	2012-03-15	New York City	48.6	119
75	32283	2012-03-16	New York City	44.5	122
76	32284	2012-03-17	New York City	49.9	112
77	32285	2012-03-18	New York City	50.9	111
78	32286	2012-03-19	New York City	59.3	107
79	32287	2012-03-20	New York City	60.0	109
80	32288	2012-03-21	New York City	57.8	113
81	32289	2012-03-22	New York City	61.2	120
82	32290	2012-03-23	New York City	65.1	114
83	32291	2012-03-24	New York City	58.1	121
84	32292	2012-03-25	New York City	48.3	129
85	32293	2012-03-26	New York City	50.0	131
86	32294	2012-03-27	New York City	39.7	116
87	32295	2012-03-28	New York City	52.7	119
88	32296	2012-03-29	New York City	56.1	122
89	32297	2012-03-30	New York City	46.9	130
90	32298	2012-03-31	New York City	42.6	118
