;id;Date;City;Temperature;Sales;Temperature_C
0;32208;2012-01-01;New York City;47.4;36;8.0
1;32209;2012-01-02;New York City;42.9;34;6.0
2;32210;2012-01-03;New York City;29.8;40;-2.0
3;32211;2012-01-04;New York City;19.1;35;-8.0
4;32212;2012-01-05;New York City;31.7;48;-1.0
5;32213;2012-01-06;New York City;41.5;44;5.0
6;32214;2012-01-07;New York City;51.6;51;10.0
7;32215;2012-01-08;New York City;45.1;36;7.0
8;32216;2012-01-09;New York City;35.0;44;1.0
9;32217;2012-01-10;New York City;39.4;39;4.0
10;32218;2012-01-11;New York City;42.2;39;5.0
11;32219;2012-01-12;New York City;43.3;45;6.0
12;32220;2012-01-13;New York City;39.1;49;3.0
13;32221;2012-01-14;New York City;29.7;46;-2.0
14;32222;2012-01-15;New York City;23.3;48;-5.0
15;32223;2012-01-16;New York City;22.7;51;-6.0
16;32224;2012-01-17;New York City;39.0;56;3.0
17;32225;2012-01-18;New York City;50.8;53;10.0
18;32226;2012-01-19;New York City;26.4;59;-4.0
19;32227;2012-01-20;New York City;31.9;53;-1.0
20;32228;2012-01-21;New York City;26.4;63;-4.0
21;32229;2012-01-22;New York City;24.4;53;-5.0
22;32230;2012-01-23;New York City;37.2;51;2.0
23;32231;2012-01-24;New York City;49.1;62;9.0
24;32232;2012-01-25;New York City;41.6;66;5.0
25;32233;2012-01-26;New York City;36.5;61;2.0
26;32234;2012-01-27;New York City;45.8;72;7.0
27;32235;2012-01-28;New York City;43.0;66;6.0
28;32236;2012-01-29;New York City;40.1;75;4.0
29;32237;2012-01-30;New York City;37.8;63;3.0
30;32238;2012-01-31;New York City;44.4;67;6.0
31;32239;2012-02-01;New York City;55.4;77;13.0
32;32240;2012-02-02;New York City;46.5;76;8.0
33;32241;2012-02-03;New York City;37.5;78;3.0
34;32242;2012-02-04;New York City;42.6;71;5.0
35;32243;2012-02-05;New York City;36.9;74;2.0
36;32244;2012-02-06;New York City;40.7;65;4.0
37;32245;2012-02-07;New York City;45.1;74;7.0
38;32246;2012-02-08;New York City;36.3;69;2.0
39;32247;2012-02-09;New York City;36.7;67;2.0
40;32248;2012-02-10;New York City;40.5;75;4.0
41;32249;2012-02-11;New York City;36.8;70;2.0
42;32250;2012-02-12;New York City;29.5;89;-2.0
43;32251;2012-02-13;New York City;33.5;80;0.0
44;32252;2012-02-14;New York City;41.4;87;5.0
45;32253;2012-02-15;New York City;42.1;89;5.0
46;32254;2012-02-16;New York City;40.7;91;4.0
47;32255;2012-02-17;New York City;45.5;85;7.0
48;32256;2012-02-18;New York City;42.3;88;5.0
49;32257;2012-02-19;New York City;40.1;96;4.0
50;32258;2012-02-20;New York City;37.9;85;3.0
51;32259;2012-02-21;New York City;38.9;93;3.0
52;32260;2012-02-22;New York City;49.0;80;9.0
53;32261;2012-02-23;New York City;51.0;95;10.0
54;32262;2012-02-24;New York City;42.1;89;5.0
55;32263;2012-02-25;New York City;42.6;100;5.0
56;32264;2012-02-26;New York City;36.7;100;2.0
57;32265;2012-02-27;New York City;43.3;93;6.0
58;32266;2012-02-28;New York City;46.4;97;8.0
59;32267;2012-02-29;New York City;41.0;93;5.0
60;32268;2012-03-01;New York City;40.0;98;4.0
61;32269;2012-03-02;New York City;37.0;90;2.0
62;32270;2012-03-03;New York City;46.4;102;8.0
63;32271;2012-03-04;New York City;44.3;94;6.0
64;32272;2012-03-05;New York City;37.9;106;3.0
65;32273;2012-03-06;New York City;33.4;104;0.0
66;32274;2012-03-07;New York City;45.5;106;7.0
67;32275;2012-03-08;New York City;58.7;105;14.0
68;32276;2012-03-09;New York City;49.8;97;9.0
69;32277;2012-03-10;New York City;37.1;114;2.0
70;32278;2012-03-11;New York City;45.3;110;7.0
71;32279;2012-03-12;New York City;52.6;109;11.0
72;32280;2012-03-13;New York City;60.1;107;15.0
